value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.25239, -6.92209, -5.92931, -5.47679, -4.45145, -4.18039, -3.60882, -2.72886, -2.7, -2.65052, -1.31177, -0.0563365, 1.17202e-15, 0.787414, 2.57753, 2.7, 2.82618, 3.72009, 4.31521, 4.95604, 5.81651, 5.90802, 6.6668, 6.99492
-7.24467, -6.93193, -5.92336, -5.48491, -4.44039, -4.19331, -3.59907, -2.72391, -2.7, -2.65855, -1.31456, -0.0472082, -1.43632e-15, 0.779167, 2.58825, 2.7, 2.81477, 3.72078, 4.31305, 4.96058, 5.81907, 5.90519, 6.66716, 6.99383
-7.23723, -6.9413, -5.91777, -5.49246, -4.42925, -4.20614, -3.59005, -2.71942, -2.7, -2.66601, -1.3171, -0.038735, -2.44784e-16, 0.771483, 2.59908, 2.7, 2.80334, 3.72142, 4.31109, 4.96472, 5.82138, 5.9026, 6.66748, 6.99285
-7.23014, -6.9501, -5.91259, -5.4994, -4.41804, -4.21887, -3.58182, -2.71537, -2.7, -2.67283, -1.31939, -0.0309705, 7.319e-16, 0.764419, 2.61001, 2.7, 2.79188, 3.722, 4.30933, 4.96845, 5.82346, 5.90026, 6.66777, 6.99196
-7.22349, -6.95827, -5.90786, -5.50568, -4.40678, -4.23149, -3.57443, -2.71179, -2.7, -2.67899, -1.32143, -0.0239676, -1.54345e-15, 0.758029, 2.62103, 2.7, 2.7804, 3.72251, 4.30777, 4.97176, 5.8253, 5.89818, 6.66802, 6.99118
-7.21737, -6.96571, -5.90364, -5.51125, -4.39549, -4.24396, -3.56792, -2.70868, -2.7, -2.68442, -1.3232, -0.0177772, -8.04556e-16, 0.752367, 2.63214, 2.7, 2.76891, 3.72295, 4.30642, 4.97464, 5.8269, 5.89636, 6.66824, 6.99049
-7.21189, -6.9723, -5.89997, -5.51606, -4.38423, -4.25623, -3.56233, -2.70604, -2.7, -2.6891, -1.32472, -0.0124472, -7.72569e-18, 0.747481, 2.64331, 2.7, 2.75741, 3.72333, 4.30528, 4.97709, 5.82825, 5.89481, 6.66843, 6.98991
-7.20717, -6.97794, -5.89689, -5.52006, -4.37307, -4.26821, -3.5577, -2.70387, -2.7, -2.69298, -1.32596, -0.00802087, -2.044e-15, 0.743416, 2.65455, 2.7, 2.74591, 3.72364, 4.30434, 4.9791, 5.82936, 5.89353, 6.66858, 6.98943
-7.20333, -6.98249, -5.89445, -5.52323, -4.36219, -4.27973, -3.55407, -2.70218, -2.7, -2.69603, -1.32693, -0.00453616, 2.03386e-15, 0.740212, 2.66584, 2.7, 2.73441, 3.72389, 4.30361, 4.98067, 5.83023, 5.89253, 6.6687, 6.98906
-7.20048, -6.98584, -5.89268, -5.52552, -4.35202, -4.29037, -3.55145, -2.70097, -2.7, -2.69823, -1.32762, -0.00202394, -2.49735e-15, 0.737899, 2.67719, 2.7, 2.72292, 3.72406, 4.30308, 4.98179, 5.83085, 5.89182, 6.66878, 6.9888
-7.19873, -6.98789, -5.89161, -5.5269, -4.3437, -4.29897, -3.54987, -2.70024, -2.7, -2.69956, -1.32804, -0.00050718, -2.62177e-16, 0.736502, 2.68858, 2.7, 2.71145, 3.72417, 4.30277, 4.98247, 5.83122, 5.89139, 6.66883, 6.98864
-7.19814, -6.98858, -5.89125, -5.52736, -4.34009, -4.30266, -3.54934, -2.7, -2.7, -2.7, -1.32818, -4.87657e-16, 5.80922e-16, 0.736034, 2.7, 2.7, 2.7, 3.7242, 4.30266, 4.98269, 5.83134, 5.89125, 6.66885, 6.98858
