value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.07925, -4.55426, -3.97921, -3.48236, -2.38529, -1.90986, -0.958207, -0.772329, -0.627998, -0.270567, -0.219018, 1.48037, 2.83963, 4.53902, 4.59057, 4.948, 5.09233, 5.27821, 6.22986, 6.70529, 7.80236, 8.29921, 8.87426, 9.39925
-5.06777, -4.57032, -3.96829, -3.49747, -2.37477, -1.92421, -0.935196, -0.761276, -0.61998, -0.285779, -0.233081, 1.47822, 2.84178, 4.55308, 4.60578, 4.93998, 5.08128, 5.2552, 6.24421, 6.69477, 7.81747, 8.28829, 8.89032, 9.38777
-5.05616, -4.58626, -3.95725, -3.51247, -2.36413, -1.93846, -0.912299, -0.750099, -0.612355, -0.30089, -0.247551, 1.47618, 2.84382, 4.56755, 4.62089, 4.93235, 5.0701, 5.2323, 6.25846, 6.68413, 7.83247, 8.27725, 8.90626, 9.37616
-5.04443, -4.60209, -3.94609, -3.52738, -2.35338, -1.95262, -0.889522, -0.7388, -0.60513, -0.315901, -0.262419, 1.47425, 2.84575, 4.58242, 4.6359, 4.92513, 5.0588, 5.20952, 6.27262, 6.67338, 7.84738, 8.26609, 8.92209, 9.36443
-5.03256, -4.6178, -3.9348, -3.54218, -2.34252, -1.9667, -0.866869, -0.72738, -0.59831, -0.330812, -0.277674, 1.47245, 2.84756, 4.59767, 4.65081, 4.91831, 5.04738, 5.18687, 6.2867, 6.66252, 7.86218, 8.2548, 8.9378, 9.35256
-5.02056, -4.6334, -3.9234, -3.55687, -2.33154, -1.98068, -0.844346, -0.715837, -0.591902, -0.34562, -0.293304, 1.47075, 2.84925, 4.6133, 4.66562, 4.9119, 5.03584, 5.16435, 6.30068, 6.65154, 7.87687, 8.2434, 8.9534, 9.34056
-5.00843, -4.64887, -3.91187, -3.57146, -2.32045, -1.99457, -0.821957, -0.704174, -0.58591, -0.360325, -0.309299, 1.46917, 2.85083, 4.6293, 4.68032, 4.90591, 5.02417, 5.14196, 6.31457, 6.64045, 7.89146, 8.23187, 8.96887, 9.32843
-4.99617, -4.66423, -3.90022, -3.58594, -2.30925, -2.00836, -0.79971, -0.69239, -0.58034, -0.374926, -0.325648, 1.46771, 2.85229, 4.64565, 4.69493, 4.90034, 5.01239, 5.11971, 6.32836, 6.62925, 7.90594, 8.22022, 8.98423, 9.31617
-4.98379, -4.67947, -3.88845, -3.60032, -2.29793, -2.02206, -0.777609, -0.680485, -0.575196, -0.389423, -0.342341, 1.46637, 2.85363, 4.66234, 4.70942, 4.8952, 5.00049, 5.09761, 6.34206, 6.61793, 7.92032, 8.20845, 8.99947, 9.30379
-4.97127, -4.69459, -3.87657, -3.61459, -2.28651, -2.03566, -0.755661, -0.668462, -0.570484, -0.403815, -0.359368, 1.46514, 2.85486, 4.67937, 4.72381, 4.89048, 4.98846, 5.07566, 6.35566, 6.60651, 7.93459, 8.19657, 9.01459, 9.29127
-4.95863, -4.70959, -3.86456, -3.62875, -2.27497, -2.04917, -0.733872, -0.65632, -0.566207, -0.4181, -0.376717, 1.46403, 2.85597, 4.69672, 4.7381, 4.88621, 4.97632, 5.05387, 6.36917, 6.59497, 7.94875, 8.18456, 9.02959, 9.27863
-4.94586, -4.72447, -3.85244, -3.64281, -2.26332, -2.06258, -0.712249, -0.644059, -0.56237, -0.432279, -0.394378, 1.46304, 2.85696, 4.71438, 4.75228, 4.88237, 4.96406, 5.03225, 6.38258, 6.58332, 7.96281, 8.17244, 9.04447, 9.26586
-4.93296, -4.73923, -3.8402, -3.65675, -2.25157, -2.07589, -0.690799, -0.631681, -0.558975, -0.446351, -0.412341, 1.46216, 2.85784, 4.73234, 4.76635, 4.87897, 4.95168, 5.0108, 6.39589, 6.57157, 7.97675, 8.1602, 9.05923, 9.25296
-4.91994, -4.75387, -3.82784, -3.67058, -2.2397, -2.08911, -0.66953, -0.619185, -0.556026, -0.460314, -0.430595, 1.4614, 2.8586, 4.75059, 4.78031, 4.87603, 4.93919, 4.98953, 6.40911, 6.5597, 7.99058, 8.14784, 9.07387, 9.23994
-4.90678, -4.76839, -3.81536, -3.68431, -2.22773, -2.10222, -0.64845, -0.606573, -0.553525, -0.474168, -0.449129, 1.46076, 2.85924, 4.76913, 4.79417, 4.87352, 4.92657, 4.96845, 6.42222, 6.54773, 8.00431, 8.13536, 9.08839, 9.22678
-4.89351, -4.78278, -3.80277, -3.69792, -2.21565, -2.11524, -0.627571, -0.593844, -0.551474, -0.487913, -0.467931, 1.46023, 2.85977, 4.78793, 4.80791, 4.87147, 4.91384, 4.94757, 6.43524, 6.53565, 8.01792, 8.12277, 9.10278, 9.21351
-4.8801, -4.79706, -3.79007, -3.71142, -2.20347, -2.12815, -0.606908, -0.581, -0.549872, -0.501548, -0.486984, 1.45982, 2.86018, 4.80698, 4.82155, 4.86987, 4.901, 4.92691, 6.44815, 6.52347, 8.03142, 8.11007, 9.11706, 9.2001
-4.86657, -4.81121, -3.77724, -3.72481, -2.19117, -2.14096, -0.586497, -0.568042, -0.548712, -0.515071, -0.506261, 1.45953, 2.86047, 4.82626, 4.83507, 4.86871, 4.88804, 4.9065, 6.46096, 6.51117, 8.04481, 8.09724, 9.13121, 9.18657
-4.85292, -4.82523, -3.76431, -3.73809, -2.17878, -2.15367, -0.566497, -0.554969, -0.547925, -0.528483, -0.525672, 1.45936, 2.86064, 4.84567, 4.84848, 4.86792, 4.87497, 4.8865, 6.47367, 6.49878, 8.05809, 8.08431, 9.14523, 9.17292
-4.83914, -4.83914, -3.75126, -3.75126, -2.16628, -2.16628, -0.551677, -0.54412, -0.543838, -0.541783, -0.541782, 1.4593, 2.8607, 4.86178, 4.86178, 4.86384, 4.86412, 4.87168, 6.48628, 6.48628, 8.07126, 8.07126, 9.15914, 9.15914
